iter	Passed	Remaining
417	2606	3629
418	2612	3623
419	2618	3616
420	2624	3609
421	2630	3603
422	2636	3596
423	2641	3588
424	2647	3582
425	2653	3575
426	2659	3568
427	2664	3561
428	2670	3554
429	2676	3548
430	2682	3541
431	2687	3533
432	2692	3526
433	2698	3518
434	2703	3511
435	2709	3505
436	2715	3498
437	2721	3491
438	2727	3485
439	2733	3478
440	2739	3472
441	2745	3466
442	2751	3459
443	2757	3452
444	2763	3446
445	2768	3439
446	2774	3432
447	2780	3425
448	2785	3418
449	2791	3411
450	2797	3404
451	2803	3398
452	2808	3391
453	2814	3385
454	2820	3378
455	2826	3372
456	2833	3366
457	2838	3359
458	2844	3352
459	2850	3346
460	2856	3339
461	2862	3333
462	2868	3326
463	2874	3319
464	2879	3313
465	2885	3307
466	2891	3300
467	2897	3293
468	2903	3286
469	2908	3280
470	2914	3273
471	2920	3267
472	2926	3260
473	2932	3254
474	2938	3247
475	2944	3241
476	2950	3234
477	2956	3228
478	2962	3222
479	2968	3216
480	2974	3209
481	2980	3203
482	2986	3197
483	2992	3190
484	2998	3183
485	3004	3177
486	3010	3170
487	3016	3164
488	3022	3158
489	3028	3152
490	3034	3145
491	3040	3139
492	3046	3132
493	3051	3126
494	3057	3119
495	3064	3113
496	3070	3107
497	3076	3100
498	3081	3094
499	3087	3087
500	3093	3081
501	3099	3075
502	3105	3068
503	3111	3061
504	3116	3054
505	3122	3048
506	3128	3041
507	3133	3034
508	3139	3028
509	3144	3021
510	3150	3014
511	3156	3008
512	3162	3002
513	3168	2995
514	3174	2989
515	3179	2982
516	3185	2976
517	3191	2969
518	3196	2962
519	3202	2956
520	3208	2949
521	3213	2942
522	3218	2935
523	3224	2928
524	3231	2923
525	3237	2917
526	3243	2911
527	3249	2904
528	3254	2897
529	3260	2891
530	3265	2884
531	3271	2878
532	3277	2871
533	3283	2864
534	3288	2858
535	3294	2851
536	3299	2845
537	3305	2838
538	3311	2831
539	3316	2825
540	3322	2818
541	3327	2811
542	3333	2805
543	3339	2799
544	3344	2792
545	3350	2786
546	3356	2779
547	3361	2772
548	3367	2766
549	3372	2759
550	3379	2753
551	3385	2747
552	3391	2741
553	3397	2734
554	3403	2728
555	3409	2722
556	3415	2716
557	3420	2709
558	3426	2703
559	3432	2697
560	3438	2690
561	3444	2684
562	3451	2679
563	3458	2673
564	3464	2667
565	3470	2661
566	3476	2655
567	3483	2649
568	3489	2643
569	3496	2637
570	3502	2631
571	3508	2625
572	3514	2619
573	3520	2613
574	3527	2607
575	3533	2601
576	3539	2595
577	3546	2589
578	3552	2583
579	3558	2576
580	3563	2570
581	3570	2564
582	3576	2558
583	3582	2551
584	3588	2545
585	3595	2539
586	3601	2534
587	3608	2528
588	3615	2522
589	3621	2516
590	3628	2510
591	3634	2504
592	3640	2498
593	3647	2492
594	3653	2486
595	3659	2480
596	3665	2474
597	3671	2468
598	3678	2462
599	3684	2456
600	3690	2450
601	3696	2443
602	3702	2437
603	3708	2431
604	3713	2424
605	3720	2418
606	3726	2412
607	3732	2406
608	3739	2400
609	3745	2394
610	3752	2388
611	3758	2382
612	3764	2376
613	3770	2370
614	3777	2364
615	3783	2358
616	3789	2352
617	3795	2345
618	3801	2340
619	3808	2334
620	3813	2327
621	3819	2321
622	3825	2315
623	3831	2308
624	3837	2302
625	3843	2296
626	3849	2290
627	3855	2283
628	3861	2277
629	3868	2271
630	3874	2265
631	3880	2259
632	3886	2253
633	3892	2246
634	3897	2240
635	3903	2233
636	3908	2227
637	3913	2220
638	3919	2214
639	3925	2208
640	3931	2202
641	3937	2195
642	3942	2188
643	3948	2182
644	3954	2176
645	3959	2169
646	3964	2163
647	3970	2156
648	3976	2150
649	3982	2144
650	3988	2138
651	3994	2131
652	4001	2126
653	4006	2119
654	4012	2113
655	4018	2107
656	4024	2101
657	4030	2094
658	4036	2088
659	4042	2082
660	4048	2076
661	4053	2069
662	4059	2063
663	4065	2057
664	4071	2050
665	4077	2044
666	4082	2038
667	4088	2032
668	4094	2025
669	4099	2019
670	4105	2013
671	4111	2006
672	4116	2000
673	4121	1993
674	4127	1987
675	4133	1981
676	4139	1975
677	4145	1968
678	4150	1962
679	4157	1956
680	4162	1949
681	4168	1943
682	4173	1937
683	4179	1930
684	4184	1924
685	4190	1918
686	4196	1911
687	4201	1905
688	4207	1899
689	4213	1892
690	4218	1886
691	4225	1880
692	4230	1874
693	4236	1868
694	4241	1861
695	4247	1855
696	4252	1848
697	4258	1842
698	4264	1836
699	4271	1830
700	4277	1824
701	4283	1818
702	4290	1812
703	4297	1806
704	4303	1800
705	4310	1794
706	4317	1789
707	4323	1783
708	4330	1777
709	4336	1771
710	4342	1764
711	4348	1758
712	4355	1753
713	4361	1747
714	4368	1741
715	4374	1734
716	4380	1728
717	4386	1722
718	4392	1716
719	4398	1710
720	4404	1704
721	4410	1698
722	4416	1692
723	4422	1685
724	4429	1680
725	4436	1674
726	4442	1668
727	4449	1662
728	4454	1656
729	4460	1649
730	4466	1643
731	4472	1637
732	4479	1631
733	4484	1625
734	4490	1619
735	4496	1612
736	4502	1606
737	4509	1600
738	4515	1594
739	4520	1588
740	4526	1581
741	4531	1575
742	4536	1569
743	4542	1563
744	4547	1556
745	4553	1550
746	4559	1544
747	4565	1538
748	4570	1531
749	4576	1525
750	4582	1519
751	4588	1513
752	4594	1507
753	4600	1501
754	4606	1494
755	4612	1488
756	4618	1482
757	4623	1476
758	4629	1469
759	4635	1463
760	4640	1457
761	4646	1451
762	4652	1445
763	4658	1438
764	4663	1432
765	4669	1426
766	4675	1420
767	4680	1414
768	4686	1407
769	4692	1401
770	4697	1395
771	4702	1388
772	4708	1382
773	4714	1376
774	4720	1370
775	4726	1364
776	4733	1358
777	4738	1352
778	4743	1345
779	4749	1339
780	4755	1333
781	4760	1327
782	4766	1320
783	4772	1314
784	4777	1308
785	4784	1302
786	4790	1296
787	4795	1290
788	4801	1284
789	4807	1277
790	4813	1271
791	4818	1265
792	4824	1259
793	4829	1253
794	4835	1247
795	4841	1240
796	4847	1234
797	4853	1228
798	4859	1222
799	4864	1216
800	4870	1210
801	4875	1203
802	4881	1197
803	4887	1191
804	4892	1185
805	4898	1179
806	4904	1172
807	4909	1166
808	4916	1160
809	4922	1154
810	4927	1148
811	4933	1142
812	4939	1136
813	4944	1129
814	4950	1123
815	4956	1117
816	4962	1111
817	4969	1105
818	4975	1099
819	4981	1093
820	4987	1087
821	4994	1081
822	5000	1075
823	5005	1069
824	5011	1063
825	5017	1056
826	5024	1051
827	5031	1045
828	5037	1039
829	5043	1033
830	5050	1027
831	5057	1021
832	5064	1015
833	5071	1009
834	5078	1003
835	5084	997
836	5090	991
837	5096	985
838	5102	979
839	5108	973
840	5115	967
841	5121	961
842	5127	954
843	5133	948
844	5139	942
845	5145	936
846	5151	930
847	5157	924
848	5163	918
849	5169	912
850	5175	906
851	5180	899
852	5186	893
853	5191	887
854	5197	881
855	5202	875
856	5208	869
857	5213	862
858	5219	856
859	5224	850
860	5230	844
861	5236	838
862	5242	832
863	5248	826
864	5253	819
865	5259	813
866	5265	807
867	5271	801
868	5276	795
869	5283	789
870	5288	783
871	5294	777
872	5299	770
873	5305	764
874	5311	758
875	5317	752
876	5323	746
877	5329	740
878	5334	734
879	5340	728
880	5346	722
881	5352	716
882	5358	709
883	5364	703
884	5370	697
885	5375	691
886	5381	685
887	5387	679
888	5393	673
889	5399	667
890	5406	661
891	5412	655
892	5419	649
893	5425	643
894	5431	637
895	5436	631
896	5442	624
897	5448	618
898	5454	612
899	5459	606
900	5465	600
901	5470	594
902	5476	588
903	5483	582
904	5489	576
905	5494	570
906	5499	563
907	5504	557
908	5510	551
909	5516	545
910	5521	539
911	5527	533
912	5534	527
913	5539	521
914	5545	515
915	5551	509
916	5557	503
917	5562	496
918	5568	490
